sh.600054 黄山旅游
sh.600138 中青旅
sh.600258 首旅酒店
sh.600358 *ST联合
sh.600555 *ST海创
sh.600593 大连圣亚
sh.600749 西藏旅游
sh.600965 福成股份
sh.601007 金陵饭店
sh.603099 长白山
sz.000524 岭南控股
sz.000610 西安旅游
sz.000796 凯撒旅业
sz.000888 峨眉山A
sz.002033 丽江股份
sz.002059 云南旅游
sz.002159 三特索道
sz.002306 ST云网
sz.300144 宋城演艺
sz.300178 腾邦国际
sz.300662 科锐国际
