sh.600072 中船科技
sh.600118 中国卫星
sh.600150 中国船舶
sh.600343 航天动力
sh.600391 航发科技
sh.600435 北方导航
sh.600482 中国动力
sh.600677 *ST航通
sh.600685 中船防务
sh.600765 中航重机
sh.600879 航天电子
sh.600893 航发动力
sh.600967 内蒙一机
sh.601698 中国卫通
sh.601890 亚星锚链
sh.688081 兴图新科
sz.000687 华讯方舟
sz.000697 炼石航空
sz.000738 航发控制
sz.002013 中航机电
sz.002023 海特高新
sz.002025 航天电器
sz.002151 北斗星通
sz.002179 中航光电
sz.002829 星网宇达
sz.002933 新兴装备
sz.002985 北摩高科
sz.300397 天和防务
sz.300600 瑞特股份
sz.300696 爱乐达
sz.300722 新余国科
sz.300762 上海瀚讯
